id,status,daysLeft
0,inoculated,0
496,healthy,0
2,healthy,0
174,healthy,0
4,inoculated,0
5,healthy,0
161,inoculated,0
7,inoculated,0
99,inoculated,0
910,inoculated,0
10,inoculated,0
11,inoculated,0
771,inoculated,0
511,healthy,0
892,healthy,0
15,healthy,0
16,healthy,0
17,inoculated,0
18,inoculated,0
19,inoculated,0
20,inoculated,0
21,healthy,0
22,healthy,0
907,healthy,0
311,recovered,0
25,healthy,0
768,healthy,0
27,healthy,0
28,healthy,0
369,healthy,0
924,inoculated,0
26,inoculated,0
32,healthy,0
799,healthy,0
34,recovered,0
8,inoculated,0
36,healthy,0
37,healthy,0
229,healthy,0
39,inoculated,0
40,inoculated,0
111,inoculated,0
914,inoculated,0
802,inoculated,0
44,inoculated,0
204,healthy,0
46,healthy,0
47,healthy,0
48,inoculated,0
956,inoculated,0
451,healthy,0
51,inoculated,0
52,inoculated,0
208,inoculated,0
58,healthy,0
55,inoculated,0
56,healthy,0
137,healthy,0
54,healthy,0
59,inoculated,0
60,healthy,0
838,healthy,0
861,inoculated,0
63,healthy,0
64,inoculated,0
65,inoculated,0
66,healthy,0
67,healthy,0
68,inoculated,0
69,inoculated,0
70,healthy,0
12,inoculated,0
445,recovered,0
972,inoculated,0
74,healthy,0
531,healthy,0
76,healthy,0
53,inoculated,0
687,inoculated,0
984,inoculated,0
80,inoculated,0
81,inoculated,0
363,inoculated,0
83,inoculated,0
300,inoculated,0
85,inoculated,0
329,healthy,0
197,inoculated,0
29,inoculated,0
559,healthy,0
444,healthy,0
3,healthy,0
92,inoculated,0
844,inoculated,0
94,inoculated,0
95,inoculated,0
96,inoculated,0
889,inoculated,0
98,healthy,0
234,healthy,0
798,healthy,0
711,inoculated,0
102,healthy,0
103,healthy,0
887,inoculated,0
105,healthy,0
106,healthy,0
107,inoculated,0
678,inoculated,0
109,healthy,0
110,inoculated,0
210,healthy,0
112,healthy,0
113,healthy,0
114,inoculated,0
115,healthy,0
116,inoculated,0
117,healthy,0
534,inoculated,0
123,healthy,0
120,recovered,0
878,inoculated,0
24,healthy,0
396,inoculated,0
308,healthy,0
501,inoculated,0
267,healthy,0
888,inoculated,0
128,healthy,0
129,inoculated,0
130,healthy,0
131,inoculated,0
403,inoculated,0
790,inoculated,0
565,inoculated,0
417,inoculated,0
136,inoculated,0
57,inoculated,0
138,inoculated,0
139,inoculated,0
792,inoculated,0
141,healthy,0
142,recovered,0
143,healthy,0
144,healthy,0
145,inoculated,0
368,recovered,0
656,healthy,0
148,inoculated,0
149,inoculated,0
150,healthy,0
712,inoculated,0
1,healthy,0
153,healthy,0
154,inoculated,0
155,healthy,0
374,healthy,0
157,healthy,0
158,healthy,0
765,healthy,0
160,healthy,0
6,healthy,0
868,healthy,0
163,healthy,0
260,recovered,0
165,inoculated,0
166,inoculated,0
167,healthy,0
486,healthy,0
870,healthy,0
557,inoculated,0
431,healthy,0
492,healthy,0
31,healthy,0
91,inoculated,0
175,inoculated,0
176,inoculated,0
177,healthy,0
412,inoculated,0
433,inoculated,0
180,inoculated,0
181,healthy,0
182,inoculated,0
697,inoculated,0
518,healthy,0
352,inoculated,0
186,healthy,0
628,inoculated,0
188,inoculated,0
189,healthy,0
190,healthy,0
191,healthy,0
192,healthy,0
193,healthy,0
541,inoculated,0
195,inoculated,0
450,inoculated,0
649,inoculated,0
622,healthy,0
586,recovered,0
745,sick,0
629,recovered,0
829,sick,3
272,inoculated,0
489,recovered,0
205,inoculated,0
206,inoculated,0
207,healthy,0
618,inoculated,0
325,healthy,0
41,inoculated,0
211,inoculated,0
273,healthy,0
213,healthy,0
214,healthy,0
215,inoculated,0
436,recovered,0
217,healthy,0
242,recovered,0
79,inoculated,0
220,inoculated,0
221,inoculated,0
